さて	サテ	サテ
今回	コンカイ	コンカイ
は	ハ	ワ
、	、	、
東	ヒガシ	ヒガシ
日本	ニホン	ニホン
大	ダイ	ダイ
震災	シンサイ	シンサイ
に	ニ	ニ
関する	カンスル	カンスル
こと	コト	コト
、	、	、
そして	ソシテ	ソシテ
5	ゴ	ゴ
月	ガツ	ガツ
から	カラ	カラ
始まり	ハジマリ	ハジマリ
ます	マス	マス
「	「	「
みんな	ミンナ	ミンナ
で	デ	デ
語ろう	カタロウ	カタロー
!	!	!
~	~	~
いな	イナ	イナ
むら	ムラ	ムラ
市長	シチョウ	シチョー
と	ト	ト
とも	トモ	トモ
に	ニ	ニ
車座	クルマザ	クルマザ
集会	シュウカイ	シューカイ
~	~	~
」	」	」
と	ト	ト
「	「	「
市長	シチョウ	シチョー
と	ト	ト
語ろう	カタロウ	カタロー
!	!	!
~	~	~
いな	イナ	イナ
むら	ムラ	ムラ
市長	シチョウ	シチョー
の	ノ	ノ
見せ	ミセ	ミセ
て	テ	テ
・	・	・
聴か	キカ	キカ
せ	セ	セ
て	テ	テ
あまがさき	アマガサキ	アマガサキ
~	~	~
」	」	」
に	ニ	ニ
つい	ツイ	ツイ
て	テ	テ
お	オ	オ
話	ハナシ	ハナシ
を	ヲ	オ
伺い	ウカガイ	ウカガイ
たい	タイ	タイ
と	ト	ト
思い	オモイ	オモイ
ます	マス	マス
。	。	。
EOS
どうぞ	ドウゾ	ドーゾ
、	、	、
よろしく	ヨロシク	ヨロシク
お	オ	オ
願い	ネガイ	ネガイ
し	シ	シ
ます	マス	マス
。	。	。
EOS
まず	マズ	マズ
は	ハ	ワ
、	、	、
この	コノ	コノ
度	タビ	タビ
の	ノ	ノ
東	ヒガシ	ヒガシ
日本	ニホン	ニホン
大	ダイ	ダイ
震災	シンサイ	シンサイ
で	デ	デ
被災	ヒサイ	ヒサイ
さ	サ	サ
れ	レ	レ
た	タ	タ
方々	カタガタ	カタガタ
に	ニ	ニ
心	ココロ	ココロ
から	カラ	カラ
お	オ	オ
見舞い	ミマイ	ミマイ
を	ヲ	オ
申し上げ	モウシアゲ	モーシアゲ
ます	マス	マス
。	。	。
EOS
また	マタ	マタ
、	、	、
お	オ	オ
亡くなり	ナクナリ	ナクナリ
に	ニ	ニ
なら	ナラ	ナラ
れ	レ	レ
た	タ	タ
方々	カタガタ	カタガタ
の	ノ	ノ
ご	ゴ	ゴ
冥福	メイフク	メーフク
を	ヲ	オ
深く	フカク	フカク
お	オ	オ
祈り	イノリ	イノリ
いたし	イタシ	イタシ
ます	マス	マス
。	。	。
EOS
尼崎	アマガサキ	アマガサキ
市	シ	シ
で	デ	デ
も	モ	モ
震災	シンサイ	シンサイ
発生	ハッセイ	ハッセー
直後	チョクゴ	チョクゴ
から	カラ	カラ
、	、	、
消防	ショウボウ	ショーボー
、	、	、
水道	スイドウ	スイドー
、	、	、
そして	ソシテ	ソシテ
その	ソノ	ソノ
あと	アト	アト
は	ハ	ワ
、	、	、
心	ココロ	ココロ
の	ノ	ノ
ケア	ケア	ケア
や	ヤ	ヤ
健康	ケンコウ	ケンコー
の	ノ	ノ
チェック	チェック	チェック
に	ニ	ニ
あたる	アタル	アタル
保健	ホケン	ホケン
師	シ	シ
です	デス	デス
と	ト	ト
か	カ	カ
、	、	、
避難	ヒナン	ヒナン
所	ショ	ショ
の	ノ	ノ
運営	ウンエイ	ウンエー
の	ノ	ノ
お	オ	オ
手伝い	テツダイ	テツダイ
を	ヲ	オ
する	スル	スル
よう	ヨウ	ヨー
な	ナ	ナ
職員	ショクイン	ショクイン
が	ガ	ガ
現地	ゲンチ	ゲンチ
に	ニ	ニ
行っ	イッ	イッ
て	テ	テ
、	、	、
応援	オウエン	オーエン
に	ニ	ニ
かけつけ	カケツケ	カケツケ
て	テ	テ
くれ	クレ	クレ
て	テ	テ
い	イ	イ
ます	マス	マス
。	。	。
EOS
はい	ハイ	ハイ
。	。	。
EOS
はい	ハイ	ハイ
、	、	、
また	マタ	マタ
、	、	、
市民	シミン	シミン
の	ノ	ノ
皆	ミナ	ミナ
様	サマ	サマ
に	ニ	ニ
物資	ブッシ	ブッシ
の	ノ	ノ
提供	テイキョウ	テーキョー
の	ノ	ノ
呼びかけ	ヨビカケ	ヨビカケ
も	モ	モ
さ	サ	サ
せ	セ	セ
て	テ	テ
いただき	イタダキ	イタダキ
まし	マシ	マシ
て	テ	テ
、	、	、
この	コノ	コノ
仕分け	シワケ	シワケ
です	デス	デス
と	ト	ト
か	カ	カ
の	ノ	ノ
ボランティア	ボランティア	ボランティア
も	モ	モ
市民	シミン	シミン
の	ノ	ノ
方	カタ	カタ
が	ガ	ガ
担っ	ニナッ	ニナッ
て	テ	テ
ください	クダサイ	クダサイ
まし	マシ	マシ
て	テ	テ
、	、	、
本当	ホント	ホント
に	ニ	ニ
多く	オオク	オーク
の	ノ	ノ
方	カタ	カタ
が	ガ	ガ
今	イマ	イマ
何	ナン	ナン
か	カ	カ
自分	ジブン	ジブン
に	ニ	ニ
できる	デキル	デキル
こと	コト	コト
は	ハ	ワ
ない	ナイ	ナイ
か	カ	カ
、	、	、
募金	ボキン	ボキン
を	ヲ	オ
し	シ	シ
て	テ	テ
くださっ	クダサッ	クダサッ
た	タ	タ
方	カタ	カタ
も	モ	モ
いらっしゃい	イラッシャイ	イラッシャイ
ます	マス	マス
し	シ	シ
、	、	、
今	イマ	イマ
、	、	、
尼崎	アマガサキ	アマガサキ
市	シ	シ
の	ノ	ノ
いたる	イタル	イタル
所	トコロ	トコロ
で	デ	デ
、	、	、
そう	ソウ	ソー
いう	ユウ	ユー
活動	カツドウ	カツドー
が	ガ	ガ
取り組ま	トリクマ	トリクマ
れ	レ	レ
て	テ	テ
いる	イル	イル
と	ト	ト
いう	ユウ	ユー
よう	ヨウ	ヨー
な	ナ	ナ
状態	ジョウタイ	ジョータイ
です	デス	デス
。	。	。
EOS
そう	ソウ	ソー
です	デス	デス
ね	ネ	ネ
。	。	。
EOS
さて	サテ	サテ
、	、	、
稲村	イナムラ	イナムラ
市	シ	シ
長	チョウ	チョー
は	ハ	ワ
先日	センジツ	センジツ
被災	ヒサイ	ヒサイ
地	チ	チ
へ	ヘ	エ
行か	イカ	イカ
れ	レ	レ
た	タ	タ
と	ト	ト
お	オ	オ
聞き	キキ	キキ
し	シ	シ
まし	マシ	マシ
た	タ	タ
けれど	ケレド	ケレド
も	モ	モ
、	、	、
被災	ヒサイ	ヒサイ
地	チ	チ
で	デ	デ
は	ハ	ワ
、	、	、
どの	ドノ	ドノ
よう	ヨウ	ヨー
な	ナ	ナ
状況	ジョウキョウ	ジョーキョー
でし	デシ	デシ
た	タ	タ
か	カ	カ
?	?	?
はい	ハイ	ハイ
、	、	、
今月	コンゲツ	コンゲツ
の	ノ	ノ
5日	イツカ	イツカ
の	ノ	ノ
日	ヒ	ヒ
に	ニ	ニ
宮城	ミヤギ	ミヤギ
県	ケン	ケン
の	ノ	ノ
気仙沼	ケセンヌマ	ケセンヌマ
市	シ	シ
を	ヲ	オ
訪ね	タズネ	タズネ
て	テ	テ
まいり	マイリ	マイリ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
津波	ツナミ	ツナミ
で	デ	デ
大変	タイヘン	タイヘン
な	ナ	ナ
所	トコロ	トコロ
でし	デシ	デシ
た	タ	タ
ね	ネ	ネ
。	。	。
EOS
津波	ツナミ	ツナミ
の	ノ	ノ
上	ウエ	ウエ
に	ニ	ニ
また	マタ	マタ
、	、	、
火災	カサイ	カサイ
が	ガ	ガ
重なっ	カサナッ	カサナッ
た	タ	タ
と	ト	ト
いう	ユウ	ユー
こと	コト	コト
で	デ	デ
、	、	、
ニュース	ニュース	ニュース
で	デ	デ
心	ココロ	ココロ
が	ガ	ガ
痛み	イタミ	イタミ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
燃え	モエ	モエ
た	タ	タ
あと	アト	アト
は	ハ	ワ
一面	イチメン	イチメン
金属	キンゾク	キンゾク
が	ガ	ガ
混ざっ	マザッ	マザッ
た	タ	タ
瓦礫	ガレキ	ガレキ
が	ガ	ガ
ものすごく	モノスゴク	モノスゴク
量	リョウ	リョー
が	ガ	ガ
ある	アル	アル
よう	ヨウ	ヨー
な	ナ	ナ
状態	ジョウタイ	ジョータイ
で	デ	デ
、	、	、
非常	ヒジョウ	ヒジョー
に	ニ	ニ
復旧	フッキュウ	フッキュー
・	・	・
復興	フッコウ	フッコー
に	ニ	ニ
長い	ナガイ	ナガイ
時間	ジカン	ジカン
が	ガ	ガ
かかり	カカリ	カカリ
そう	ソウ	ソー
だ	ダ	ダ
な	ナ	ナ
と	ト	ト
いう	ユウ	ユー
こと	コト	コト
を	ヲ	オ
感じ	カンジ	カンジ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
本当	ホント	ホント
です	デス	デス
ね	ネ	ネ
。	。	。
EOS
まあ	マア	マー
、	、	、
ま	マ	マ
、	、	、
尼崎	アマガサキ	アマガサキ
市	シ	シ
は	ハ	ワ
です	デス	デス
ね	ネ	ネ
。	。	。
EOS
厚生	コウセイ	コーセー
労働	ロウドウ	ロードー
省	ショウ	ショー
から	カラ	カラ
の	ノ	ノ
要請	ヨウセイ	ヨーセー
で	デ	デ
保健	ホケン	ホケン
師	シ	シ
が	ガ	ガ
気仙沼	ケセンヌマ	ケセンヌマ
市	シ	シ
の	ノ	ノ
皆	ミナ	ミナ
さん	サン	サン
の	ノ	ノ
心	ココロ	ココロ
の	ノ	ノ
ケア	ケア	ケア
に	ニ	ニ
あたら	アタラ	アタラ
せ	セ	セ
て	テ	テ
いただい	イタダイ	イタダイ
たり	タリ	タリ
、	、	、
また	マタ	マタ
兵庫	ヒョウゴ	ヒョーゴ
県	ケン	ケン
が	ガ	ガ
取り組ん	トリクン	トリクン
で	デ	デ
いる	イル	イル
広域	コウイキ	コーイキ
連合	レンゴウ	レンゴー
の	ノ	ノ
枠組み	ワクグミ	ワクグミ
の	ノ	ノ
中	ナカ	ナカ
で	デ	デ
避難	ヒナン	ヒナン
所	ジョ	ジョ
の	ノ	ノ
上	ウエ	ウエ
の	ノ	ノ
お	オ	オ
手伝い	テツダイ	テツダイ
に	ニ	ニ
気仙沼	ケセンヌマ	ケセンヌマ
市	シ	シ
に	ニ	ニ
行っ	イッ	イッ
たり	タリ	タリ
と	ト	ト
いう	ユウ	ユー
状態	ジョウタイ	ジョータイ
だっ	ダッ	ダッ
た	タ	タ
ん	ン	ン
です	デス	デス
けれど	ケレド	ケレド
も	モ	モ
、	、	、
帰っ	カエッ	カエッ
て	テ	テ
き	キ	キ
まし	マシ	マシ
た	タ	タ
職員	ショクイン	ショクイン
の	ノ	ノ
話	ハナシ	ハナシ
・	・	・
報告	ホウコク	ホーコク
を	ヲ	オ
聞き	キキ	キキ
ます	マス	マス
と	ト	ト
、	、	、
やはり	ヤハリ	ヤハリ
、	、	、
顔	カオ	カオ
の	ノ	ノ
見える	ミエル	ミエル
関係	カンケイ	カンケー
を	ヲ	オ
しっかり	シッカリ	シッカリ
と	ト	ト
つない	ツナイ	ツナイ
で	デ	デ
いっ	イッ	イッ
て	テ	テ
、	、	、
息	イキ	イキ
の	ノ	ノ
長い	ナガイ	ナガイ
応援	オウエン	オーエン
を	ヲ	オ
し	シ	シ
て	テ	テ
いく	イク	イク
必要	ヒツヨウ	ヒツヨー
が	ガ	ガ
ある	アル	アル
と	ト	ト
非常	ヒジョウ	ヒジョー
に	ニ	ニ
強く	ツヨク	ツヨク
感じ	カンジ	カンジ
て	テ	テ
帰っ	カエッ	カエッ
て	テ	テ
き	キ	キ
て	テ	テ
い	イ	イ
まし	マシ	マシ
た	タ	タ
し	シ	シ
、	、	、
私	ワタクシ	ワタクシ
も	モ	モ
、	、	、
これ	コレ	コレ
から	カラ	カラ
そう	ソウ	ソー
いっ	イッ	イッ
た	タ	タ
腰	コシ	コシ
を	ヲ	オ
落ちつけ	オチツケ	オチツケ
た	タ	タ
支援	シエン	シエン
を	ヲ	オ
やっ	ヤッ	ヤッ
て	テ	テ
いく	イク	イク
ため	タメ	タメ
に	ニ	ニ
は	ハ	ワ
、	、	、
きっちり	キッチリ	キッチリ
と	ト	ト
パートナーシップ	パートナーシップ	パートナーシップ
を	ヲ	オ
持っ	モッ	モッ
て	テ	テ
やっ	ヤッ	ヤッ
て	テ	テ
いく	イク	イク
必要	ヒツヨウ	ヒツヨー
が	ガ	ガ
ある	アル	アル
ん	ン	ン
で	デ	デ
は	ハ	ワ
ない	ナイ	ナイ
か	カ	カ
と	ト	ト
いう	ユウ	ユー
こと	コト	コト
で	デ	デ
気仙沼	ケセンヌマ	ケセンヌマ
市	シ	シ
の	ノ	ノ
方	ホウ	ホー
に	ニ	ニ
伺い	ウカガイ	ウカガイ
まし	マシ	マシ
て	テ	テ
先方	センポウ	センポー
の	ノ	ノ
市長	シチョウ	シチョー
さん	サン	サン
に	ニ	ニ
も	モ	モ
ご	ゴ	ゴ
挨拶	アイサツ	アイサツ
を	ヲ	オ
さ	サ	サ
せ	セ	セ
て	テ	テ
いただい	イタダイ	イタダイ
て	テ	テ
、	、	、
また	マタ	マタ
これ	コレ	コレ
から	カラ	カラ
やはり	ヤハリ	ヤハリ
気仙沼	ケセンヌマ	ケセンヌマ
市	シ	シ
の	ノ	ノ
状況	ジョウキョウ	ジョーキョー
に	ニ	ニ
合わせ	アワセ	アワセ
て	テ	テ
、	、	、
どんな	ドンナ	ドンナ
経験	ケイケン	ケーケン
を	ヲ	オ
持っ	モッ	モッ
た	タ	タ
職員	ショクイン	ショクイン
は	ハ	ワ
どの	ドノ	ドノ
よう	ヨウ	ヨー
な	ナ	ナ
期間	キカン	キカン
派遣	ハケン	ハケン
する	スル	スル
の	ノ	ノ
が	ガ	ガ
適切	テキセツ	テキセツ
な	ナ	ナ
の	ノ	ノ
か	カ	カ
と	ト	ト
いう	ユウ	ユー
こと	コト	コト
を	ヲ	オ
しっかり	シッカリ	シッカリ
と	ト	ト
やりとり	ヤリトリ	ヤリトリ
を	ヲ	オ
し	シ	シ
ながら	ナガラ	ナガラ
はい	ハイ	ハイ
。	。	。
EOS
応援	オウエン	オーエン
を	ヲ	オ
し	シ	シ
たい	タイ	タイ
と	ト	ト
思っ	オモッ	オモッ
て	テ	テ
おり	オリ	オリ
ます	マス	マス
。	。	。
EOS
はい	ハイ	ハイ
。	。	。
EOS
市民	シミン	シミン
の	ノ	ノ
皆	ミナ	ミナ
様	サマ	サマ
に	ニ	ニ
も	モ	モ
気仙沼	ケセンヌマ	ケセンヌマ
市	シ	シ
で	デ	デ
「	「	「
ボランティア	ボランティア	ボランティア
を	ヲ	オ
でき	デキ	デキ
ない	ナイ	ナイ
か	カ	カ
?	?	?
」	」	」
と	ト	ト
か	カ	カ
、	、	、
「	「	「
こう	コウ	コー
いう	ユウ	ユー
応援	オウエン	オーエン
が	ガ	ガ
でき	デキ	デキ
ない	ナイ	ナイ
か	カ	カ
?	?	?
」	」	」
と	ト	ト
いう	ユウ	ユー
呼びかけ	ヨビカケ	ヨビカケ
を	ヲ	オ
さ	サ	サ
せ	セ	セ
て	テ	テ
いただく	イタダク	イタダク
か	カ	カ
も	モ	モ
しれ	シレ	シレ
ませ	マセ	マセ
ん	ン	ン
。	。	。
EOS
また	マタ	マタ
皆	ミナ	ミナ
様	サマ	サマ
に	ニ	ニ
も	モ	モ
ご	ゴ	ゴ
協力	キョウリョク	キョーリョク
を	ヲ	オ
いただけれ	イタダケレ	イタダケレ
ば	バ	バ
嬉しい	ウレシイ	ウレシー
な	ナ	ナ
、	、	、
みんな	ミンナ	ミンナ
で	デ	デ
頑張っ	ガンバッ	ガンバッ
て	テ	テ
いこう	イコウ	イコー
と	ト	ト
いう	イウ	イウ
、	、	、
そんな	ソンナ	ソンナ
動き	ウゴキ	ウゴキ
を	ヲ	オ
作っ	ツクッ	ツクッ
て	テ	テ
いき	イキ	イキ
たい	タイ	タイ
な	ナ	ナ
と	ト	ト
思っ	オモッ	オモッ
て	テ	テ
い	イ	イ
ます	マス	マス
。	。	。
EOS
それ	ソレ	ソレ
で	デ	デ
は	ハ	ワ
次	ツギ	ツギ
に	ニ	ニ
5	ゴ	ゴ
月	ガツ	ガツ
から	カラ	カラ
始まり	ハジマリ	ハジマリ
ます	マス	マス
「	「	「
みんな	ミンナ	ミンナ
で	デ	デ
語ろう	カタロウ	カタロー
!	!	!
~	~	~
いな	イナ	イナ
むら	ムラ	ムラ
市長	シチョウ	シチョー
と	ト	ト
とも	トモ	トモ
に	ニ	ニ
車座	クルマザ	クルマザ
集会	シュウカイ	シューカイ
~	~	~
」	」	」
と	ト	ト
「	「	「
市長	シチョウ	シチョー
と	ト	ト
語ろう	カタロウ	カタロー
!	!	!
~	~	~
いな	イナ	イナ
むら	ムラ	ムラ
市長	シチョウ	シチョー
の	ノ	ノ
見せ	ミセ	ミセ
て	テ	テ
・	・	・
聴か	キカ	キカ
せ	セ	セ
て	テ	テ
あまがさき	アマガサキ	アマガサキ
~	~	~
」	」	」
に	ニ	ニ
つい	ツイ	ツイ
て	テ	テ
お	オ	オ
聞き	キキ	キキ
し	シ	シ
たい	タイ	タイ
と	ト	ト
思い	オモイ	オモイ
ます	マス	マス
。	。	。
EOS
はい	ハイ	ハイ
。	。	。
EOS
昨年	サクネン	サクネン
まで	マデ	マデ
前	ゼン	ゼン
市長	シチョウ	シチョー
が	ガ	ガ
「	「	「
車座	クルマザ	クルマザ
集会	シュウカイ	シューカイ
」	」	」
、	、	、
これ	コレ	コレ
は	ハ	ワ
皆	ミナ	ミナ
さん	サン	サン
に	ニ	ニ
集まっ	アツマッ	アツマッ
て	テ	テ
頂い	イタダイ	イタダイ
て	テ	テ
、	、	、
いろんな	イロンナ	イロンナ
意見	イケン	イケン
を	ヲ	オ
どんどん	ドンドン	ドンドン
出しあい	ダシアイ	ダシアイ
ましょう	マショウ	マショー
と	ト	ト
いう	ユウ	ユー
車座	クルマザ	クルマザ
集会	シュウカイ	シューカイ
です	デス	デス
ね	ネ	ネ
。	。	。
EOS
これ	コレ	コレ
と	ト	ト
、	、	、
いろんな	イロンナ	イロンナ
活動	カツドウ	カツドー
を	ヲ	オ
さ	サ	サ
れ	レ	レ
て	テ	テ
いる	イル	イル
市民	シミン	シミン
の	ノ	ノ
方	カタ	カタ
や	ヤ	ヤ
グループ	グループ	グループ
の	ノ	ノ
方	カタ	カタ
に	ニ	ニ
市長	シチョウ	シチョー
室	シツ	シツ
に	ニ	ニ
来	キ	キ
て	テ	テ
頂く	イタダク	イタダク
と	ト	ト
いう	イウ	イウ
