蜘蛛	クモ	クモ
を	ヲ	オ
両手	リョウテ	リョーテ
で	デ	デ
しっかり	シッカリ	シッカリ
と	ト	ト
つかみ	ツカミ	ツカミ
ながら	ナガラ	ナガラ
、	、	、
一生	イッショウ	イッショー
懸命	ケンメイ	ケンメー
に	ニ	ニ
上	ウエ	ウエ
へ	ヘ	エ
上	ウエ	ウエ
へ	ヘ	エ
と	ト	ト
たぐり	タグリ	タグリ
のぼり	ノボリ	ノボリ
始め	ハジメ	ハジメ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
元より	モトヨリ	モトヨリ
大	オオ	オー
泥坊	ドロボウ	ドロボー
の	ノ	ノ
事	コト	コト
で	デ	デ
ござい	ゴザイ	ゴザイ
ます	マス	マス
から	カラ	カラ
、	、	、
こう	コウ	コー
云う	イウ	イウ
事	コト	コト
に	ニ	ニ
は	ハ	ワ
昔	ムカシ	ムカシ
から	カラ	カラ
、	、	、
慣れ	ナレ	ナレ
切っ	キッ	キッ
て	テ	テ
いる	イル	イル
の	ノ	ノ
で	デ	デ
ござい	ゴザイ	ゴザイ
ます	マス	マス
。	。	。
EOS
しかし	シカシ	シカシ
地獄	ジゴク	ジゴク
と	ト	ト
極楽	ゴクラク	ゴクラク
と	ト	ト
の	ノ	ノ
間	アイダ	アイダ
は	ハ	ワ
、	、	、
何	ナン	ナン
万	マン	マン
里	リ	リ
と	ト	ト
なく	ナク	ナク
ござい	ゴザイ	ゴザイ
ます	マス	マス
から	カラ	カラ
、	、	、
いくら	イクラ	イクラ
焦っ	アセッ	アセッ
て	テ	テ
見	ミ	ミ
た	タ	タ
所	トコロ	トコロ
で	デ	デ
、	、	、
容易	ヨウイ	ヨーイ
に	ニ	ニ
上	ウエ	ウエ
へ	ヘ	エ
は	ハ	ワ
出	デ	デ
られ	ラレ	ラレ
ませ	マセ	マセ
ん	ン	ン
。	。	。
EOS
やや	ヤヤ	ヤヤ
しばらく	シバラク	シバラク
のぼる	ノボル	ノボル
中	ウチ	ウチ
に	ニ	ニ
、	、	、
とうとう	トウトウ	トートー
犍陀多	カンダタ	カンダタ
も	モ	モ
くたびれ	クタビレ	クタビレ
て	テ	テ
、	、	、
もう	モウ	モー
一	ヒト	ヒト
たぐり	タグリ	タグリ
も	モ	モ
上	ウエ	ウエ
の	ノ	ノ
方	ホウ	ホー
へ	ヘ	エ
は	ハ	ワ
のぼれ	ノボレ	ノボレ
なく	ナク	ナク
なっ	ナッ	ナッ
て	テ	テ
しまい	シマイ	シマイ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
そこ	ソコ	ソコ
で	デ	デ
仕方	シカタ	シカタ
が	ガ	ガ
ござい	ゴザイ	ゴザイ
ませ	マセ	マセ
ん	ン	ン
から	カラ	カラ
、	、	、
まず	マズ	マズ
一休み	ヒトヤスミ	ヒトヤスミ
休む	ヤスム	ヤスム
つもり	ツモリ	ツモリ
で	デ	デ
、	、	、
糸	イト	イト
の	ノ	ノ
中途	チュウト	チュート
に	ニ	ニ
ぶら下り	ブラサガリ	ブラサガリ
ながら	ナガラ	ナガラ
、	、	、
遥か	ハルカ	ハルカ
に	ニ	ニ
目	メ	メ
の	ノ	ノ
下	シタ	シタ
を	ヲ	オ
見下し	ミクダシ	ミクダシ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
する	スル	スル
と	ト	ト
、	、	、
一生	イッショウ	イッショー
懸命	ケンメイ	ケンメー
に	ニ	ニ
のぼっ	ノボッ	ノボッ
た	タ	タ
甲斐	カイ	カイ
が	ガ	ガ
あっ	アッ	アッ
て	テ	テ
、	、	、
さっき	サッキ	サッキ
まで	マデ	マデ
自分	ジブン	ジブン
が	ガ	ガ
い	イ	イ
た	タ	タ
血の池	チノイケ	チノイケ
は	ハ	ワ
、	、	、
今	イマ	イマ
で	デ	デ
は	ハ	ワ
もう	モウ	モー
暗	ヤミ	ヤミ
の	ノ	ノ
底	ソコ	ソコ
に	ニ	ニ
いつ	イツ	イツ
の	ノ	ノ
間	アイダ	アイダ
に	ニ	ニ
か	カ	カ
かくれ	カクレ	カクレ
て	テ	テ
居り	オリ	オリ
ます	マス	マス
。	。	。
EOS
それ	ソレ	ソレ
から	カラ	カラ
あの	アノ	アノ
ぼんやり	ボンヤリ	ボンヤリ
光っ	ヒカッ	ヒカッ
て	テ	テ
いる	イル	イル
恐しい	オソロシイ	オソロシー
針	ハリ	ハリ
の	ノ	ノ
山	ヤマ	ヤマ
も	モ	モ
、	、	、
足	アシ	アシ
の	ノ	ノ
下	シタ	シタ
に	ニ	ニ
なっ	ナッ	ナッ
て	テ	テ
しまい	シマイ	シマイ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
この	コノ	コノ
分	ブン	ブン
で	デ	デ
のぼっ	ノボッ	ノボッ
て	テ	テ
行け	イケ	イケ
ば	バ	バ
、	、	、
地獄	ジゴク	ジゴク
から	カラ	カラ
ぬけ出す	ヌケダス	ヌケダス
の	ノ	ノ
も	モ	モ
、	、	、
存外	ゾンガイ	ゾンガイ
わけ	ワケ	ワケ
が	ガ	ガ
ない	ナイ	ナイ
か	カ	カ
も	モ	モ
知れ	シレ	シレ
ませ	マセ	マセ
ん	ン	ン
。	。	。
EOS
犍陀多	カンダタ	カンダタ
は	ハ	ワ
両手	リョウテ	リョーテ
を	ヲ	オ
蜘蛛	クモ	クモ
の	ノ	ノ
糸	イト	イト
に	ニ	ニ
からみ	カラミ	カラミ
ながら	ナガラ	ナガラ
、	、	、
ここ	ココ	ココ
へ	ヘ	エ
来	キ	キ
て	テ	テ
から	カラ	カラ
何	ナン	ナン
年	ネン	ネン
に	ニ	ニ
も	モ	モ
出し	ダシ	ダシ
た	タ	タ
事	コト	コト
の	ノ	ノ
ない	ナイ	ナイ
声	コエ	コエ
で	デ	デ
、	、	、
「	「	「
しめた	シメタ	シメタ
。	。	。
EOS
しめた	シメタ	シメタ
。	。	。
EOS
」	」	」
と	ト	ト
笑い	ワライ	ワライ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
ところ	トコロ	トコロ
が	ガ	ガ
ふと	フト	フト
気	キ	キ
が	ガ	ガ
つき	ツキ	ツキ
ます	マス	マス
と	ト	ト
、	、	、
蜘蛛	クモ	クモ
の	ノ	ノ
糸	イト	イト
の	ノ	ノ
下	シタ	シタ
の	ノ	ノ
方	ホウ	ホー
に	ニ	ニ
は	ハ	ワ
、	、	、
数	カズ	カズ
限	カギリ	カギリ
も	モ	モ
ない	ナイ	ナイ
罪人	ザイニン	ザイニン
たち	タチ	タチ
が	ガ	ガ
、	、	、
自分	ジブン	ジブン
の	ノ	ノ
のぼっ	ノボッ	ノボッ
た	タ	タ
後	アト	アト
を	ヲ	オ
つけ	ツケ	ツケ
て	テ	テ
、	、	、
まるで	マルデ	マルデ
蟻	アリ	アリ
の	ノ	ノ
行列	ギョウレツ	ギョーレツ
の	ノ	ノ
よう	ヨウ	ヨー
に	ニ	ニ
、	、	、
やはり	ヤハリ	ヤハリ
上	ウエ	ウエ
へ	ヘ	エ
上	ウエ	ウエ
へ	ヘ	エ
一心	イッシン	イッシン
に	ニ	ニ
よじのぼっ	ヨジノボッ	ヨジノボッ
て	テ	テ
来る	クル	クル
で	デ	デ
は	ハ	ワ
ござい	ゴザイ	ゴザイ
ませ	マセ	マセ
ん	ン	ン
か	カ	カ
。	。	。
EOS
犍陀多	カンダタ	カンダタ
は	ハ	ワ
これ	コレ	コレ
を	ヲ	オ
見る	ミル	ミル
と	ト	ト
、	、	、
驚い	オドロイ	オドロイ
た	タ	タ
の	ノ	ノ
と	ト	ト
恐しい	オソロシイ	オソロシー
の	ノ	ノ
と	ト	ト
で	デ	デ
、	、	、
しばらく	シバラク	シバラク
は	ハ	ワ
ただ	タダ	タダ
、	、	、
莫迦	バカ	バカ
の	ノ	ノ
よう	ヨウ	ヨー
に	ニ	ニ
大きな	オオキナ	オーキナ
口	クチ	クチ
を	ヲ	オ
開い	アイ	アイ
た	タ	タ
まま	ママ	ママ
、	、	、
眼	メ	メ
ばかり	バカリ	バカリ
動かし	ウゴカシ	ウゴカシ
て	テ	テ
居り	オリ	オリ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
自分	ジブン	ジブン
一人	ヒトリ	ヒトリ
で	デ	デ
さえ	サエ	サエ
断れ	キレ	キレ
そう	ソウ	ソー
な	ナ	ナ
、	、	、
この	コノ	コノ
細い	ホソイ	ホソイ
蜘蛛	クモ	クモ
の	ノ	ノ
糸	イト	イト
が	ガ	ガ
、	、	、
どう	ドウ	ドー
し	シ	シ
て	テ	テ
あれ	アレ	アレ
だけ	ダケ	ダケ
の	ノ	ノ
人数	ニンズウ	ニンズー
の	ノ	ノ
重み	オモミ	オモミ
に	ニ	ニ
堪える	タエル	タエル
事	コト	コト
が	ガ	ガ
出来	デキ	デキ
ましょう	マショウ	マショー
。	。	。
EOS
もし	モシ	モシ
万一	マンイチ	マンイチ
途中	トチュウ	トチュー
で	デ	デ
断れ	キレ	キレ
た	タ	タ
と	ト	ト
致し	イタシ	イタシ
まし	マシ	マシ
たら	タラ	タラ
、	、	、
折角	セッカク	セッカク
ここ	ココ	ココ
へ	ヘ	エ
まで	マデ	マデ
のぼっ	ノボッ	ノボッ
て	テ	テ
来	キ	キ
た	タ	タ
この	コノ	コノ
肝腎	カンジン	カンジン
な	ナ	ナ
自分	ジブン	ジブン
まで	マデ	マデ
も	モ	モ
、	、	、
元	モト	モト
の	ノ	ノ
地獄	ジゴク	ジゴク
へ	ヘ	エ
逆落し	サカオトシ	サカオトシ
に	ニ	ニ
落ち	オチ	オチ
て	テ	テ
しまわ	シマワ	シマワ
なけれ	ナケレ	ナケレ
ば	バ	バ
なり	ナリ	ナリ
ませ	マセ	マセ
ん	ン	ン
。	。	。
EOS
そんな	ソンナ	ソンナ
事	コト	コト
が	ガ	ガ
あっ	アッ	アッ
たら	タラ	タラ
、	、	、
大変	タイヘン	タイヘン
で	デ	デ
ござい	ゴザイ	ゴザイ
ます	マス	マス
。	。	。
EOS
が	ガ	ガ
、	、	、
そう	ソウ	ソー
云う	イウ	イウ
中	ウチ	ウチ
に	ニ	ニ
も	モ	モ
、	、	、
罪人	ザイニン	ザイニン
たち	タチ	タチ
は	ハ	ワ
何百	ナンビャク	ナンビャク
と	ト	ト
なく	ナク	ナク
何千	ナンゼン	ナンゼン
と	ト	ト
なく	ナク	ナク
、	、	、
まっ暗	マックラ	マックラ
な	ナ	ナ
血の池	チノイケ	チノイケ
の	ノ	ノ
底	ソコ	ソコ
から	カラ	カラ
、	、	、
うようよ	ウヨウヨ	ウヨウヨ
と	ト	ト
這い上っ	ハイノボッ	ハイノボッ
て	テ	テ
、	、	、
細く	ホソク	ホソク
光っ	ヒカッ	ヒカッ
て	テ	テ
いる	イル	イル
蜘蛛	クモ	クモ
の	ノ	ノ
糸	イト	イト
を	ヲ	オ
、	、	、
一	イチ	イチ
列	レツ	レツ
に	ニ	ニ
なり	ナリ	ナリ
ながら	ナガラ	ナガラ
、	、	、
せっせと	セッセト	セッセト
のぼっ	ノボッ	ノボッ
て	テ	テ
参り	マイリ	マイリ
ます	マス	マス
。	。	。
EOS
今	イマ	イマ
の	ノ	ノ
中	ウチ	ウチ
に	ニ	ニ
どう	ドウ	ドー
か	カ	カ
し	シ	シ
なけれ	ナケレ	ナケレ
ば	バ	バ
、	、	、
糸	イト	イト
は	ハ	ワ
まん中	マンナカ	マンナカ
から	カラ	カラ
二	フタ	フタ
つ	ツ	ツ
に	ニ	ニ
断れ	キレ	キレ
て	テ	テ
、	、	、
落ち	オチ	オチ
て	テ	テ
しまう	シマウ	シマウ
の	ノ	ノ
に	ニ	ニ
違い	チガイ	チガイ
あり	アリ	アリ
ませ	マセ	マセ
ん	ン	ン
。	。	。
EOS
そこ	ソコ	ソコ
で	デ	デ
犍陀多	カンダタ	カンダタ
は	ハ	ワ
大きな	オオキナ	オーキナ
声	コエ	コエ
を	ヲ	オ
出し	ダシ	ダシ
て	テ	テ
、	、	、
「	「	「
こら	コラ	コラ
、	、	、
罪人	ザイニン	ザイニン
ど	ド	ド
も	モ	モ
。	。	。
EOS
この	コノ	コノ
蜘蛛	クモ	クモ
の	ノ	ノ
糸	イト	イト
は	ハ	ワ
己	オレ	オレ
の	ノ	ノ
もの	モノ	モノ
だ	ダ	ダ
ぞ	ゾ	ゾ
。	。	。
EOS
お前	オマエ	オマエ
たち	タチ	タチ
は	ハ	ワ
一体	イッタイ	イッタイ
誰	ダレ	ダレ
に	ニ	ニ
尋い	キイ	キー
て	テ	テ
、	、	、
のぼっ	ノボッ	ノボッ
て	テ	テ
来	キ	キ
た	タ	タ
。	。	。
EOS
下りろ	オリロ	オリロ
。	。	。
EOS
下りろ	オリロ	オリロ
。	。	。
EOS
」	」	」
と	ト	ト
喚き	ワメキ	ワメキ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
その	ソノ	ソノ
途端	トタン	トタン
で	デ	デ
ござい	ゴザイ	ゴザイ
ます	マス	マス
。	。	。
EOS
今	イマ	イマ
まで	マデ	マデ
何	ナン	ナン
と	ト	ト
も	モ	モ
なかっ	ナカッ	ナカッ
た	タ	タ
蜘蛛	クモ	クモ
の	ノ	ノ
糸	イト	イト
が	ガ	ガ
、	、	、
急	キュウ	キュー
に	ニ	ニ
犍陀多	カンダタ	カンダタ
の	ノ	ノ
ぶら下っ	ブラサガッ	ブラサガッ
て	テ	テ
いる	イル	イル
所	トコロ	トコロ
から	カラ	カラ
、	、	、
ぷつり	プツリ	プツリ
と	ト	ト
音	オト	オト
を	ヲ	オ
立て	タテ	タテ
て	テ	テ
断れ	キレ	キレ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
です	デス	デス
から	カラ	カラ
犍陀多	カンダタ	カンダタ
も	モ	モ
たまり	タマリ	タマリ
ませ	マセ	マセ
ん	ン	ン
。	。	。
EOS
あっ	アッ	アッ
と	ト	ト
云う	イウ	イウ
間	マ	マ
も	モ	モ
なく	ナク	ナク
風	カゼ	カゼ
を	ヲ	オ
切っ	キッ	キッ
て	テ	テ
、	、	、
独楽	コマ	コマ
の	ノ	ノ
よう	ヨウ	ヨー
に	ニ	ニ
くるくる	クルクル	クルクル
まわり	マワリ	マワリ
ながら	ナガラ	ナガラ
、	、	、
見る見る	ミルミル	ミルミル
中	ナカ	ナカ
に	ニ	ニ
暗	ヤミ	ヤミ
の	ノ	ノ
底	ソコ	ソコ
へ	ヘ	エ
、	、	、
まっ	マッ	マッ
さかさま	サカサマ	サカサマ
に	ニ	ニ
落ち	オチ	オチ
て	テ	テ
しまい	シマイ	シマイ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
後	アト	アト
に	ニ	ニ
は	ハ	ワ
ただ	タダ	タダ
極楽	ゴクラク	ゴクラク
の	ノ	ノ
蜘蛛	クモ	クモ
の	ノ	ノ
糸	イト	イト
が	ガ	ガ
、	、	、
きらきら	キラキラ	キラキラ
と	ト	ト
細く	ホソク	ホソク
光り	ヒカリ	ヒカリ
ながら	ナガラ	ナガラ
、	、	、
月	ツキ	ツキ
も	モ	モ
星	ホシ	ホシ
も	モ	モ
ない	ナイ	ナイ
空	ソラ	ソラ
の	ノ	ノ
中途	チュウト	チュート
に	ニ	ニ
、	、	、
短く	ミジカク	ミジカク
垂れ	タレ	タレ
て	テ	テ
いる	イル	イル
ばかり	バカリ	バカリ
で	デ	デ
ござい	ゴザイ	ゴザイ
ます	マス	マス
。	。	。
EOS
御釈迦様	オシャカサマ	オシャカサマ
は	ハ	ワ
極楽	ゴクラク	ゴクラク
の	ノ	ノ
蓮池	ハスイケ	ハスイケ
の	ノ	ノ
ふち	フチ	フチ
に	ニ	ニ
立っ	タッ	タッ
て	テ	テ
、	、	、
この	コノ	コノ
一部	イチブ	イチブ
始終	シジュウ	シジュー
を	ヲ	オ
じっと	ジット	ジット
見	ミ	ミ
て	テ	テ
いらっしゃい	イラッシャイ	イラッシャイ
まし	マシ	マシ
た	タ	タ
が	ガ	ガ
、	、	、
やがて	ヤガテ	ヤガテ
犍陀多	カンダタ	カンダタ
が	ガ	ガ
血の池	チノイケ	チノイケ
の	ノ	ノ
底	ソコ	ソコ
へ	ヘ	エ
石	イシ	イシ
の	ノ	ノ
よう	ヨウ	ヨー
に	ニ	ニ
沈ん	シズン	シズン
で	デ	デ
しまい	シマイ	シマイ
ます	マス	マス
と	ト	ト
、	、	、
悲し	カナシ	カナシ
そう	ソウ	ソー
な	ナ	ナ
御	オ	オ
顔	カオ	カオ
を	ヲ	オ
なさり	ナサリ	ナサリ
ながら	ナガラ	ナガラ
、	、	、
また	マタ	マタ
ぶらぶら	ブラブラ	ブラブラ
御	オ	オ
歩き	アルキ	アルキ
に	ニ	ニ
なり	ナリ	ナリ
始め	ハジメ	ハジメ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
自分	ジブン	ジブン
ばかり	バカリ	バカリ
地獄	ジゴク	ジゴク
から	カラ	カラ
ぬけ出そう	ヌケダソウ	ヌケダソー
と	ト	ト
する	スル	スル
、	、	、
犍陀多	カンダタ	カンダタ
の	ノ	ノ
無	ム	ム
慈悲	ジヒ	ジヒ
な	ナ	ナ
心	ココロ	ココロ
が	ガ	ガ
、	、	、
そう	ソウ	ソー
し	シ	シ
て	テ	テ
その	ソノ	ソノ
心	ココロ	ココロ
相当	ソウトウ	ソートー
な	ナ	ナ
罰	バツ	バツ
を	ヲ	オ
うけ	ウケ	ウケ
て	テ	テ
、	、	、
元	モト	モト
の	ノ	ノ
地獄	ジゴク	ジゴク
へ	ヘ	エ
落ち	オチ	オチ
て	テ	テ
しまっ	シマッ	シマッ
た	タ	タ
の	ノ	ノ
が	ガ	ガ
、	、	、
御釈迦様	オシャカサマ	オシャカサマ
の	ノ	ノ
御	オ	オ
目	メ	メ
から	カラ	カラ
見る	ミル	ミル
と	ト	ト
、	、	、
浅間	アサマ	アサマ
しく	シク	シク
思召	オボシメシ	オボシメシ
さ	サ	サ
れ	レ	レ
た	タ	タ
の	ノ	ノ
で	デ	デ
ござい	ゴザイ	ゴザイ
ましょう	マショウ	マショー
。	。	。
EOS
しかし	シカシ	シカシ
極楽	ゴクラク	ゴクラク
の	ノ	ノ
蓮池	ハスイケ	ハスイケ
の	ノ	ノ
蓮	ハス	ハス
は	ハ	ワ
、	、	、
少し	スコシ	スコシ
も	モ	モ
そんな	ソンナ	ソンナ
事	コト	コト
に	ニ	ニ
は	ハ	ワ
頓着	トンチャク	トンチャク
致し	イタシ	イタシ
ませ	マセ	マセ
ん	ン	ン
。	。	。
EOS
その	ソノ	ソノ
玉	タマ	タマ
の	ノ	ノ
よう	ヨウ	ヨー
な	ナ	ナ
白い	シロイ	シロイ
花	ハナ	ハナ
は	ハ	ワ
、	、	、
御釈迦様	オシャカサマ	オシャカサマ
の	ノ	ノ
御足	オミアシ	オミアシ
の	ノ	ノ
まわり	マワリ	マワリ
に	ニ	ニ
、	、	、
ゆらゆら	ユラユラ	ユラユラ
萼	ウテナ	ウテナ
を	ヲ	オ
動かし	ウゴカシ	ウゴカシ
て	テ	テ
、	、	、
その	ソノ	ソノ
まん中	マンナカ	マンナカ
に	ニ	ニ
ある	アル	アル
金色	キンイロ	キンイロ
の	ノ	ノ
蕊	ズイ	ズイ
から	カラ	カラ
は	ハ	ワ
、	、	、
何	ナン	ナン
と	ト	ト
も	モ	モ
云え	イエ	イエ
ない	ナイ	ナイ
好い	ヨイ	ヨイ
匂	ニオイ	ニオイ
が	ガ	ガ
、	、	、
絶間	タエマ	タエマ
なく	ナク	ナク
あたり	アタリ	アタリ
へ	ヘ	エ
溢れ	アフレ	アフレ
て	テ	テ
居り	オリ	オリ
ます	マス	マス
。	。	。
EOS
極楽	ゴクラク	ゴクラク
も	モ	モ
もう	モウ	モー
午	ヒル	ヒル
に	ニ	ニ
近く	チカク	チカク
なっ	ナッ	ナッ
た	タ	タ
の	ノ	ノ
で	デ	デ
ござい	ゴザイ	ゴザイ
ましょう	マショウ	マショー
。	。	。
EOS
